Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
697ce8ff204e3ecfe6660b56,67cf1b25223bd69bbcb9c5f1,APPROVED,Not Applicable,2026-01-30T17:23:15.414000Z,2026-01-30T18:13:45.104000Z,2026-01-30T18:13:45.559000Z,2026-01-30T18:13:45.497240Z,3030.0,CO8XZAGN,1125,66,Female,Black,South Africa,South Africa,South Africa,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
697ce902c1516fcf142d9c69,610a52647a452dee7ca89360,RETURNED,Not Applicable,2026-01-30T17:24:55.422000Z,,,2026-01-31T03:56:48.987408Z,,,1414,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
697ce90383607018a885dbe0,5723714684458100120292f6,APPROVED,Not Applicable,2026-01-30T17:23:19.458000Z,2026-01-30T17:49:49.937000Z,2026-01-30T17:49:50.389000Z,2026-01-30T17:49:50.311288Z,1591.0,CO8XZAGN,1714,34,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
697ce905f645cdcf7843b6d0,615eda024a5f84f408625b4f,APPROVED,Not Applicable,2026-01-30T17:24:59.419000Z,2026-01-30T17:56:02.185000Z,2026-01-30T17:56:02.663000Z,2026-01-30T17:56:02.580009Z,1863.0,CO8XZAGN,3311,35,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
697ce906028ec0dd8e5d7300,697a400388ff4bcd707cde8e,APPROVED,Not Applicable,2026-01-30T17:23:25.518000Z,2026-01-30T18:19:09.130000Z,2026-01-30T18:19:09.714000Z,2026-01-30T18:19:09.512854Z,3344.0,CO8XZAGN,76,34,Male,White,United States,United States,United States,English,No,Full-Time
697ce9062f077261f7056ad1,672a315f5ffd0405912274c1,APPROVED,Not Applicable,2026-01-30T17:23:18.140000Z,2026-01-30T18:04:51.808000Z,2026-01-30T18:04:52.257000Z,2026-01-30T18:04:52.184994Z,2494.0,CO8XZAGN,1675,25,Male,Other,Belgium,Belgium,Belgium,French,No,Part-Time
697ce907fc95d872d3ee3982,5dcae8c2f7bfb17b4b5a268d,APPROVED,Not Applicable,2026-01-30T17:23:31.289000Z,2026-01-30T17:59:03.973000Z,2026-01-30T17:59:06.901000Z,2026-01-30T17:59:04.355738Z,2133.0,CO8XZAGN,2465,45,Male,White,Spain,Spain,Spain,Spanish,No,Part-Time
697ce90c11963b5d36064cd3,66463ba8fac8591a6734db5b,APPROVED,Not Applicable,2026-01-30T17:24:30.454000Z,2026-01-30T17:51:03.564000Z,2026-01-30T17:51:05.120000Z,2026-01-30T17:51:03.911777Z,1594.0,CO8XZAGN,727,33,Male,Asian,United States,United States,United States,English,No,Full-Time
697ce90cdf5721ccf25640a3,6791d7d8bdbd4592a5e7d923,APPROVED,Not Applicable,2026-01-30T17:24:17.567000Z,2026-01-30T18:06:44.441000Z,2026-01-30T18:06:45.093000Z,2026-01-30T18:06:44.851341Z,2547.0,CO8XZAGN,1526,55,Male,Mixed,Zimbabwe,South Africa,South Africa,English,No,Unemployed (and job seeking)
697ce90e3bfbb3a579f6364c,5c0873675b32d500012e3f2c,APPROVED,Not Applicable,2026-01-30T17:23:26.348000Z,2026-01-30T18:02:24.696000Z,2026-01-30T18:02:27.450000Z,2026-01-30T18:02:25.049618Z,2339.0,CO8XZAGN,4851,63,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
697ce90e4fe79cad52c78674,6369700320bc7dd22e733009,APPROVED,Not Applicable,2026-01-30T17:23:36.755000Z,2026-01-30T17:54:10.737000Z,2026-01-30T17:54:13.094000Z,2026-01-30T17:54:11.141894Z,1834.0,CO8XZAGN,10466,67,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
697ce90ec9a068c9c25f3fa4,66cda94f3c1bd8f7cc321ba8,APPROVED,Not Applicable,2026-01-30T17:24:09.945000Z,2026-01-30T18:05:52.620000Z,2026-01-30T18:05:53.101000Z,2026-01-30T18:05:53.015970Z,2503.0,CO8XZAGN,588,38,Male,White,Italy,Italy,Italy,Italian,Yes,Due to start a new job within the next month
697ce90fbe09110479ce2e2f,67c87fc1b3ba111d0e1526a0,APPROVED,Not Applicable,2026-01-30T17:23:27.118000Z,2026-01-30T18:22:39.944000Z,2026-01-30T18:22:40.460000Z,2026-01-30T18:22:40.353417Z,3553.0,CO8XZAGN,957,23,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
